op  nemo       oper    ~      #     sequence
--  ----       -----  --     --     --------
00  NEG        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
01  OIM        #,d8    6      3     1:2:3:R:x:W:N
02  AIM        #,d8    6      3     1:2:3:R:x:W:N
03  COM        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
04  LSR        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
05  EIM        #,d8    6      3     1:2:3:R:x:W:N
06  ROR        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
07  ASR        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
08  ASL        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
09  ROL        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
0A  DEC        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
0B  TIM        #,d8    4      3     1:2:3:R:N
0C  INC        d8      6/5    2     1:2:x:R:x:W:N/1:2:R:x:W:N
0D  TST        d8      6/4    2     1:2:x:R:x:x:N/1:2:R:x:N
0E  JMP        d8      3/2    2     1:2:x:i/1:2:i
0F  CLR        d8      6      2     1:2:x:R:x:W:N/1:2:R:x:W:N
10  P10        -       1+     1+    -
11  P11        -       1+     1+    -
12  NOP        -       2/1    1     1:N:N/1:N
13  SYNC       -       4      1     1:N:X:X:N
14  SEXW       -       4      1     1:N:x:x:N
15  -          -       -      -     -
16  LBRA       r16     5/4    3     1:2:3:x:x:k/1:2:3:x:k
17  LBSR       r16     9/7    3     1:2:3:x:x:X:x:w:W:k/1:2:3:x:x:w:W:k
18  -          -       -      -     -
19  DAA        -       2/1    1     1:N:N/1:N
1A  ORCC       #n8     3      2     1:2:N:N
1B  -          -       -      -     -
1C  ANDCC      #n8     3      2     1:2:N:N
1D  SEX        -       2/1    1     1:N:N/1:N
1E  EXG        #n8     8/5    2     1:2:x:x:x:x:x:x:N/1:2:x:x:x:N
1F  TFR        #n8     6/4    2     1:2:x:x:x:x:N/1:N:x:x:N
20  BRA        r8      3      2     1:2:x:j
21  BRN        r8      3      2     1:2:x:N
22  BHI        r8      3      2     1:2:x:j
23  BLS        r8      3      2     1:2:x:j
24  BCC        r8      3      2     1:2:x:j
25  BCS        r8      3      2     1:2:x:j
26  BNE        r8      3      2     1:2:x:j
27  BEQ        r8      3      2     1:2:x:j
28  BVC        r8      3      2     1:2:x:j
29  BVS        r8      3      2     1:2:x:j
2A  BPL        r8      3      2     1:2:x:j
2B  BMI        r8      3      2     1:2:x:j
2C  BGE        r8      3      2     1:2:x:j
2D  BLT        r8      3      2     1:2:x:j
2E  BGT        r8      3      2     1:2:x:j
2F  BLE        r8      3      2     1:2:x:j
30  LEAX       ix      4+     2+    1:2:Y:x:N
31  LEAY       ix      4+     2+    1:2:Y:x:N
32  LEAS       ix      4+     2+    1:2:Y:x:N
33  LEAU       ix      4+     2+    1:2:Y:x:N
34  PSHS       #n8     5+/4+  2     1:2:x:x:X:Q:N/1:2:x:X:Q:N
35  PULS       #n8     5+/4+  2     1:2:x:x:P:X:i/1:2:x:P:X:i
36  PSHU       #n8     5+/4+  2     1:2:x:x:X:Q:N/1:2:x:X:Q:N
37  PULU       #n8     5+/4+  2     1:2:x:x:P:X:i/1:2:x:P:X:i
38  -          -       -      -     -
39  RTS        -       5/4    1     1:N:R:r:x:J/1:N:R:r:J
3A  ABX        -       3/1    1     1:N:x:N/1:N
3B  RTI        -      15/17   1     1:N:R:r:r:r:r:r:r:r:r:r:r:r:X:J@1:N:R:r:r:X:J/1:N:R:r:r:r:r:r:r:r:r:r:r:r:r:r:X:J
3C  CWAI       -      20/22   2     1:2:N:x:w:W:W:W:W:W:W:W:W:W:W:W:N/1:2:N:x:w:W:W:W:W:W:W:W:W:W:W:W:W:W:N
3D  MUL        -      11/10   1     1:N:Z:N
3E  -          -       -      -     -
3F  SWI        -      19/21   1     1:N:x:w:W:W:W:W:W:W:W:W:W:W:W:x:V:v:x:J/1:N:x:w:W:W:W:W:W:W:W:W:W:W:W:W:W:X:V:v:x:J
40  NEGA       -       2/1    1     1:N:N/1:N
41  -          -       -      -     -
42  -          -       -      -     -
43  COMA       -       2/1    1     1:N:N/1:N
44  LSRA       -       2/1    1     1:N:N/1:N
45  -          -       -      -     -
46  RORA       -       2/1    1     1:N:N/1:N
47  ASRA       -       2/1    1     1:N:N/1:N
48  ASLA       -       2/1    1     1:N:N/1:N
49  ROLA       -       2/1    1     1:N:N/1:N
4A  DECA       -       2/1    1     1:N:N/1:N
4B  -          -       -      -     -
4C  INCA       -       2/1    1     1:N:N/1:N
4D  TSTA       -       2/1    1     1:N:N/1:N
4E  -          -       -      -     -
4F  CLRA       -       2/1    1     1:N:N/1:N
50  NEGB       -       2/1    1     1:N:N/1:N
51  -          -       -      -     -
52  -          -       -      -     -
53  COMB       -       2/1    1     1:N:N/1:N
54  LSRB       -       2/1    1     1:N:N/1:N
55  -          -       -      -     -
56  RORB       -       2/1    1     1:N:N/1:N
57  ASRB       -       2/1    1     1:N:N/1:N
58  ASLB       -       2/1    1     1:N:N/1:N
59  ROLB       -       2/1    1     1:N:N/1:N
5A  DECB       -       2/1    1     1:N:N/1:N
5B  -          -       -      -     -
5C  INCB       -       2/1    1     1:N:N/1:N
5D  TSTB       -       2/1    1     1:N:N/1:N
5E  -          -       -      -     -
5F  CLRB       -       2/1    1     1:N:N/1:N
